ID,Sentence
0001,jazz whatsapp self service channel mein khush aamdeed.
0002,mehakma-e-mausmiyat ki report ke mutabiq mulk ke beshtar ilaqon mein mausam sard aur khushk rehne ki tawaqqo hai.
0003,ziabetes aik khamosh aur mohlik marz hai.
0004,kya kam umr bachon se mushaqqat karwana sarasar ziadti nahi?
0005,apne gas bill mein numayan kami lane ke liye sardiyon se pehle geyser ki service karwaen.
0006,"2025 ka aakhri super moon aaj aur kal raat pakistan mein dekha jaega, aur kisi khas aalat ki zarurat nahi."
0007,"police ne mauqe par pohanch kar ilaqe ko ghere mein le liya, aur firing ke waqea ki mazeed tehqiqat jari hain."
0008,buniyadi sarkari khidmaat ka husool ab ghar baithe mumkin ho gaya hai.
0009,basant se qabl patang baazi ko mehfooz aur munazzam banane ke liye mehakma-e-dakhla ne ba-zabta registration ka amal shuru kar diya hai.
0010,account ki tafseelaat jan'ne ke liye aik milayen.
0011,"nazm ka behr mein hona lazmi hai, aur nasri nazm qabil-e-qubool nahi hogi."
0012,apne postpaid bill ki adaigi ba aasani karne ke liye menu par click kijiye!
0013,kya aap apne liye ya apne pyaron ke liye aisa amal chahte hain jo kabhi khatam na ho?
0014,ptcl self service mein khush aamdeed.
0015,barwaqt tashkhees se hi chhati ke cancer ka muqabla kiya ja sakta hai.
0016,taleemi idaron mein mausam-e-sarma ki chhuttiyon ka ailan.
0017,gharelu tashaddud ke khilaf awaaz uthayen.
0018,"maa aur bache ki sehat ke liye is kathan waqt mein bache ki paidaish ke waqt, ya foran baad kam az kam do saal ke waqfe ka munasib tareeqa apnayen."
0019,corona virus ki wajah se paida hone wali is mushkil soorat-e-haal mein maa aur bache ki sehat ko yaqeeni banane ke liye ehtiyati tadabeer ikhtiyar karein.
0020,shehzad roy aik gulukar aur aik samaji karkun hain.
0021,pkli mein aap ke atiyaat se gurday aur jigar ke amraz mein mubtala lakhon mustahiq mareezon ka muft ailaj ho chuka hai.
0022,apne ghar par eid manane ki umeed liye cancer ke zair-e-ailaj mareez hain aap ke fitrane ke sahi haqdar.
0023,"apni betiyon ko parhayen, betiyan parhein gi to apne pairon par khari hongi."
0024,jinsi badsulooki se bachao ke liye bachon mein apni hifazat karne ki samajh boojh paida karein.
0025,"pakistan mein aik crore bache, yani har teesra bacha iron ki kami ka shikar hai."
0026,umoomi sawalat ke liye nadra se rabta karne ke liye hamari awami helpline par rabta karein.
0027,pha lahore ki janib se jilani park mein salana gul daudi numaaish ke liye tayyariyan aakhri marahil mein hain.
0028,is liye is baar polio vaccination muhim mein apne paanch saal tak ki umr ke har bache ko polio ke do qatre pilana lazmi hai.
0029,"aankhon par patti bandh kar khel ko khela ja sakta hai, magar beenai ke baghair zindagi jeena bohat mushkil hai."
0030,parhai par tawajjoh nahi de pata.
0031,jaise waqt ke chehre pe kuch muskurate lamhe kahin chhup se gaye hon.
0032,corona virus aik flu yani zukam hai.
0033,gas saver cone ke hamil geysers ka intikhab karein.
0034,is muhim ki khas baat yeh hai ke na aap ko ailaj se pehle aur na hi baad mein koi raqam ada karni hai.
0035,osteoporosis aik khamosh aur mohlik marz hai jo umr ke sath namkiyat ki kami ki wajah se haddiyon ko khokhla aur kamzor bana deta hai.
0036,"agar kisi wajah se aap test karwane laboratory nahi ja sakte, aise tamam mareezon ke liye idc home sample collection ki sahulat faraham kar raha hai."
0037,"agar lab test ki zarurat ho to ghar mein rahein, kyunke hamara mustanad aur tarbiyat yafta amlah aap ke ghar pohanch kar sample collect kar raha hai."
0038,"agar barwaqt ailaj na kiya jaye to yeh bimaari khoon behne, platelets ki kami, aur jaan janay ka khadsha bhi paida kar sakti hai."
0039,hepatitis b aur c se bachao kaise mumkin hai?
0040,sahil ke qareeb 40 se 50 kilometer fi ghanta ki raftaar se hawaen chalne ka imkaan hai.
